kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 103 : 192 1152 0 0 0 0 0 0 5 
_1.ptx 104 : 192 1728 0 0 0 0 0 0 0 
_1.ptx 105 : 192 1152 0 0 0 0 0 0 0 
_1.ptx 106 : 192 1152 0 0 0 0 0 0 0 
_1.ptx 107 : 192 1152 0 0 0 0 0 0 0 
_1.ptx 109 : 192 800 0 0 0 0 0 0 0 
_1.ptx 113 : 32 155 0 0 0 0 0 0 0 
_1.ptx 116 : 1 23 0 1 1 0 0 0 0 
_1.ptx 118 : 1 5 0 0 0 0 0 0 0 
_1.ptx 120 : 1 9 0 0 0 0 0 0 0 
_1.ptx 121 : 1 9 0 0 0 0 0 0 0 
_1.ptx 122 : 1 3 0 0 0 1 1 0 0 
_1.ptx 126 : 32 160 0 0 0 0 0 0 1 
_1.ptx 29 : 32 64 0 0 0 0 0 0 1 
_1.ptx 30 : 32 64 0 0 0 0 0 0 0 
_1.ptx 128 : 32 5 0 0 0 0 0 0 0 
_1.ptx 31 : 32 64 0 0 0 0 0 0 0 
_1.ptx 32 : 32 192 0 0 0 0 0 0 0 
_1.ptx 33 : 32 192 0 0 0 0 0 0 0 
_1.ptx 131 : 31 155 0 0 0 0 0 0 0 
_1.ptx 34 : 32 192 0 0 0 0 0 0 0 
_1.ptx 36 : 32 160 0 0 0 0 0 0 0 
_1.ptx 135 : 1 5 0 0 0 0 0 0 0 
_1.ptx 38 : 32 192 0 0 0 0 0 0 0 
_1.ptx 39 : 32 192 0 0 0 0 0 0 0 
_1.ptx 40 : 32 155 0 0 0 0 0 0 0 
_1.ptx 138 : 1 6 0 0 0 0 0 0 0 
_1.ptx 139 : 1 5 0 0 0 0 0 0 0 
_1.ptx 43 : 1 5 0 0 0 0 0 0 0 
_1.ptx 141 : 1 5 0 0 0 0 0 0 0 
_1.ptx 143 : 1 9 0 0 0 0 0 0 0 
_1.ptx 46 : 1 6 0 0 0 0 0 0 0 
_1.ptx 144 : 1 9 0 0 0 0 0 0 0 
_1.ptx 145 : 1 9 0 0 0 0 0 0 0 
_1.ptx 48 : 1 5 0 0 0 0 0 0 0 
_1.ptx 146 : 1 3 0 0 0 1 1 0 0 
_1.ptx 50 : 1 9 0 0 0 0 0 0 0 
_1.ptx 148 : 1 5 0 0 0 0 0 0 0 
_1.ptx 51 : 1 9 0 0 0 0 0 0 0 
_1.ptx 52 : 1 3 0 0 0 1 1 0 0 
_1.ptx 56 : 32 160 0 0 0 0 0 0 1 
_1.ptx 58 : 32 288 0 0 0 0 0 0 0 
_1.ptx 59 : 32 288 0 0 0 0 0 0 0 
_1.ptx 60 : 32 160 0 0 0 0 0 0 0 
_1.ptx 61 : 32 288 0 0 0 0 0 0 0 
_1.ptx 63 : 32 6240 0 0 0 4 1 0 0 
_1.ptx 64 : 32 96 0 1 1 0 0 0 0 
_1.ptx 66 : 32 160 0 0 0 0 0 0 0 
_1.ptx 67 : 32 288 0 0 0 0 0 0 0 
_1.ptx 68 : 32 288 0 0 0 0 0 0 0 
_1.ptx 69 : 32 288 0 0 0 0 0 0 0 
_1.ptx 70 : 32 288 0 0 0 0 0 0 0 
_1.ptx 72 : 32 6240 0 0 0 4 1 0 0 
_1.ptx 73 : 32 96 0 1 1 0 0 0 0 
_1.ptx 75 : 32 192 0 0 0 0 0 0 0 
_1.ptx 76 : 32 0 0 0 0 0 0 0 0 
_1.ptx 79 : 192 1152 0 0 0 0 0 0 0 
_1.ptx 81 : 192 960 0 0 0 0 0 0 0 
_1.ptx 83 : 192 1152 0 0 0 0 0 0 0 
_1.ptx 84 : 192 645 0 0 0 0 0 0 0 
_1.ptx 87 : 63 1512 0 6 6 0 0 0 0 
_1.ptx 89 : 63 567 0 0 0 0 0 0 0 
_1.ptx 90 : 63 567 0 0 0 0 0 0 0 
_1.ptx 91 : 63 567 0 0 0 0 0 0 0 
_1.ptx 93 : 63 1512 0 6 6 0 0 0 0 
_1.ptx 95 : 63 378 0 0 0 0 0 0 0 
_1.ptx 96 : 63 315 0 0 0 0 0 0 0 
